region,dv_total,entities,female_population,dv_per_lakh_female_20yr,share_of_national_pct
East,423970,4,131110482,323.4,22.2
South,410612,6,126239865,325.3,21.5
North,376841,9,80465101,468.3,19.73
Central,303251,3,143038667,212.0,15.88
West,247125,4,84025583,294.1,12.94
North East,147982,8,22413010,660.3,7.75
Islands,197,2,209055,94.2,0.01
